,City,Date,Country,Cloudiness,Max_temp,Pressure,Humidity,lng,lat,wind_speed
94,Bilibino,2021-10-22 02:04:14,RU,100,1.65,1007,94,166.4372,68.0546,3.2
95,Am Timan,2021-10-22 02:04:14,TD,100,74.64,1011,82,20.2827,11.0297,4.68
96,Hofn,2021-10-22 02:04:15,IS,54,32.43,1013,62,-15.2082,64.2539,11.61
97,Isangel,2021-10-22 02:04:15,VU,100,78.69,1015,76,169.2667,-19.55,6.17
98,Kommunisticheskiy,2021-10-22 02:04:16,RU,100,29.91,996,70,64.4819,61.6789,8.68
99,Mount Gambier,2021-10-22 02:04:16,AU,100,67.12,1013,52,140.7667,-37.8333,6.71
100,Hasaki,2021-10-22 02:04:17,JP,100,54.0,1015,86,140.8333,35.7333,18.05
101,Srednekolymsk,2021-10-22 02:04:17,RU,72,1.72,1009,88,153.6833,67.45,3.83
102,Saskylakh,2021-10-22 02:04:18,RU,97,-1.32,1008,100,114.0833,71.9167,3.13
103,Fortuna,2021-10-22 02:04:18,US,90,65.43,1010,75,-124.1573,40.5982,4.0
104,Saryozek,2021-10-22 02:04:18,KZ,100,34.56,1031,97,77.9753,44.3583,6.58
105,Faya,2021-10-22 02:04:19,SA,83,55.92,1020,31,42.4509,18.3851,6.29
106,Coahuayana Viejo,2021-10-22 02:04:19,MX,46,79.65,1012,88,-103.6833,18.7333,0.29
107,Taltal,2021-10-22 02:00:25,CL,24,58.91,1017,74,-70.4833,-25.4,2.91
108,Bueno Brandão,2021-10-22 02:00:44,BR,0,53.98,1016,88,-46.3508,-22.4408,3.69
109,Saldanha,2021-10-22 02:04:20,ZA,100,59.52,1009,79,17.9442,-33.0117,19.15
110,Qaanaaq,2021-10-22 02:04:21,GL,0,-0.06,1018,74,-69.3632,77.484,8.19
111,Kashary,2021-10-22 02:04:21,RU,94,47.26,1015,92,41.0056,49.04,14.79
112,Nelson Bay,2021-10-22 02:04:21,AU,34,76.75,1014,71,152.15,-32.7167,5.01
113,Sfântu Gheorghe,2021-10-22 02:04:22,RO,48,52.27,1016,69,25.7833,45.8667,2.33
114,Ushuaia,2021-10-22 02:04:22,AR,75,38.86,1007,81,-68.3,-54.8,5.75
115,Natitingou,2021-10-22 02:04:23,BJ,8,73.81,1010,80,1.3796,10.3042,2.24
116,Port Alfred,2021-10-22 02:04:23,ZA,100,64.94,1005,83,26.891,-33.5906,1.43
117,Cabo San Lucas,2021-10-22 02:03:21,MX,1,80.62,894,80,-109.9124,22.8909,5.01
118,Hachinohe,2021-10-22 02:04:24,JP,7,57.81,1018,45,141.5,40.5,2.64
119,Beyneu,2021-10-22 02:04:24,KZ,77,43.29,1027,51,55.2,45.3167,12.24
120,Chui,2021-10-22 02:04:25,UY,0,54.5,1016,89,-53.4616,-33.6971,5.37
121,Bonavista,2021-10-22 02:04:26,CA,41,46.11,1013,75,-53.1147,48.6499,20.6
